title,price,link
Superhost,"₸69,946 ",https://www.airbnb.com/rooms/1527431664446263195?search_mode=regular_search&adults=1&check_in=2025-12-04&check_out=2025-12-09&children=0&infants=0&pets=0&source_impression_id=p3_1764872140_P38owYWng15kftRH&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
Guest favorite,"₸121,339",https://www.airbnb.com/rooms/1404970325710635880?search_mode=regular_search&adults=1&check_in=2025-12-06&check_out=2025-12-11&children=0&infants=0&pets=0&source_impression_id=p3_1764872141_P3pTY_FnWhTQi7hg&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
Guest favorite,"₸130,841",https://www.airbnb.com/rooms/1105643512481493762?search_mode=regular_search&adults=1&check_in=2025-12-12&check_out=2025-12-17&children=0&infants=0&pets=0&source_impression_id=p3_1764872141_P3filRXN0nCCLKq0&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
Top guest favorite,"₸146,158",https://www.airbnb.com/rooms/1367707829015632606?search_mode=regular_search&adults=1&check_in=2025-12-16&check_out=2025-12-21&children=0&infants=0&pets=0&source_impression_id=p3_1764872141_P3V4IsL5KpFXH-zb&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
Superhost,"₸163,393 ",https://www.airbnb.com/rooms/1565072585808269350?search_mode=regular_search&adults=1&check_in=2025-12-04&check_out=2025-12-09&children=0&infants=0&pets=0&source_impression_id=p3_1764872141_P3olCYs-P6CnBSsB&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
Apartment in Almaty,"₸79,151",https://www.airbnb.com/rooms/1565786736479931159?search_mode=regular_search&adults=1&check_in=2025-12-04&check_out=2025-12-09&children=0&infants=0&pets=0&source_impression_id=p3_1764872141_P3EtdBmswd9sLAbW&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
Guest favorite,"₸203,626 ",https://www.airbnb.com/rooms/1185906502659339046?search_mode=regular_search&adults=1&check_in=2025-12-17&check_out=2025-12-22&children=0&infants=0&pets=0&source_impression_id=p3_1764872141_P3Ib7_end0CGTCB7&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
Superhost,"₸115,640 ",https://www.airbnb.com/rooms/647702461458540723?search_mode=regular_search&adults=1&check_in=2025-12-08&check_out=2025-12-13&children=0&infants=0&pets=0&source_impression_id=p3_1764872141_P3Pvw4YEk_ocNI4W&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
Guest favorite,"₸135,751",https://www.airbnb.com/rooms/1402083935753635094?search_mode=regular_search&adults=1&check_in=2025-12-04&check_out=2025-12-09&children=0&infants=0&pets=0&source_impression_id=p3_1764872141_P3p2V4yG5l9qJINp&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
Superhost,"₸148,941 ",https://www.airbnb.com/rooms/1427394003434876159?search_mode=regular_search&adults=1&check_in=2025-12-19&check_out=2025-12-24&children=0&infants=0&pets=0&source_impression_id=p3_1764872141_P39yu9PM31L_LazP&previous_page_section_name=1000&federated_search_id=b460ada5-98f8-4baa-82fb-4a33bf1491e5
